method,real_path,raw_pattern,normalized_pattern,definition_file,definition_line,usage_count,usage_files,triage
POST,/rest/project/a/:param/application/get,${APPLICATION_URL(options.appId)}/get,${APPLICATION_URL(options.appId)}/get,src/service/Api/Application/index.ts,25,1,src/service/Api/Application/index.ts,
POST,/rest/project/application/p/:param/selection,/rest/project/application/p/${pid}/selection,rest/project/application/p/:pid/selection,src/service/Api/ApiGroup/index.ts,27,3,src/service/Api/ApiGroup/index.ts src/service/Api/Global/SystemService.ts src/service/Api/ImportScenario/AppService.ts,
POST,/rest/project/label/list/project/:param,/rest/project/label/list/project/${pid},rest/project/label/list/project/:pid,src/service/Api/Global/LabelService.ts,63,1,src/service/Api/Global/LabelService.ts,
POST,/rest/project/p/:param/customGroup/list,/rest/project/p/${pid}/customGroup/list,rest/project/p/:pid/customGroup/list,src/service/Api/Project/CustomGroupService.ts,24,1,src/service/Api/Project/CustomGroupService.ts,
POST,/rest/project/p/:param/issue/pageQuery,${PROJECT_URL(pid)}/issue/pageQuery,${PROJECT_URL(pid)}/issue/pageQuery,src/service/Api/ApiDefinition/index.ts,112,2,src/service/Api/ApiDefinition/index.ts src/components/Api/Edition/Edit/EditSelect.ts,
POST,/rest/project/p/:param/sprint/kanBanList,${PROJECT_URL(props.projectId)}/sprint/kanBanList,${PROJECT_URL(props.projectId)}/sprint/kanBanList,src/components/Api/Edition/Edit/EditSelect.ts,176,1,src/components/Api/Edition/Edit/EditSelect.ts,
POST,/rest/project/p/:param/user/pageQuery,${PROJECT_URL(pid)}/user/pageQuery,${PROJECT_URL(pid)}/user/pageQuery,src/service/Api/Setting/index.ts,144,2,src/service/Api/Setting/index.ts src/service/Api/Global/AccountService.ts,
POST,/rest/quality/a/:param/api/case/copy,${CASE_URL(aid)}/copy,${CASE_URL(aid)}/copy,src/service/Api/ApiCase/index.ts,86,1,src/service/Api/ApiCase/index.ts,
POST,/rest/quality/a/:param/api/case/create,${CASE_URL(aid)}/create,${CASE_URL(aid)}/create,src/service/Api/ApiCase/index.ts,21,1,src/service/Api/ApiCase/index.ts,
POST,/rest/quality/a/:param/api/case/get,${CASE_URL(aid)}/get,${CASE_URL(aid)}/get,src/service/Api/ApiCase/index.ts,30,1,src/service/Api/ApiCase/index.ts,
POST,/rest/quality/a/:param/api/case/reset,${CASE_URL(aid)}/reset,${CASE_URL(aid)}/reset,src/service/Api/ApiCase/index.ts,77,1,src/service/Api/ApiCase/index.ts,
